attempt,exit,seconds
1,0,8
2,0,10
3,0,11
4,0,10
5,0,11
6,0,10
7,0,8
8,0,11
9,0,10
10,0,10
11,0,13
12,0,12
13,0,7
14,0,10
15,0,12
